Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
1845;Capela de Exaustão de Gases;Equipamento de proteção desenvolvida com a finalidade de dissipar gases nocivos, utilizado em laboratórios que realizam o manuseio de reagentes.;Apoio;R$ 5.249,00;N;Clique para Detalhar;ESPECIALIZADO
1863;Capela de Fluxo Laminar;Equipamento projetado para criar áreas de trabalhos estéreis dentro de um laboratório, para garantir que os materiais biológicos, químicos e estéreis sejam manipulados de forma segura e sem risco de contaminação.;Apoio;R$ 24.980,00;N;Clique para Detalhar;ESPECIALIZADO
149;Capnógrafo;Equipamento utilizado na monitoração da concentração de CO2 expirado pelos pacientes.;Médico Assistencial;R$ 13.183,00;N;Clique para Detalhar;ESPECIALIZADO
108;Cardiotocógrafo;Equipamento para monitoração externa da freqüência cardíaca fetal, movimento fetal e contração uterina materna.;Médico Assistencial;R$ 25.334,00;N;Clique para Detalhar;ESPECIALIZADO
936;Cardioversor;Equipamento utilizado para aplicar uma carga, sincronizada, buscando o restabelecimento do ritmo cardíaco.;Médico Assistencial;R$ 28.091,00;N;Clique para Detalhar;ESPECIALIZADO
11598;Cardioversor Para Unidade Móvel de Urgência;Desfibrilador e monitor de ECG, integrados, com opção de sincronismo para uso em pacientes adultos e pediátricos para Unidade Móvel de Urgência.;Médico Assistencial;R$ 55.798,00;N;Clique para Detalhar;ESPECIALIZADO
1703;Carrinho de Mão;Carro para transporte de materiais de construção.;Gerais;R$ 212,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
1855;Carro de Curativos;Carro utilizado no apoio a realização de curativos e transporte de utensílios para este fim.;Apoio;R$ 1.203,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10798;Carro de Emergência;Carro para transporte de materiais e equipamentos utilizado para atender situações de emergência, urgência.;Apoio;R$ 6.487,00;N;Clique para Detalhar;ESPECIALIZADO
10805;Carro Maca Avançado;Maca, com rodízios, que apresenta recursos avançados, utilizada para transportar e acomodar o paciente.;Apoio;R$ 17.973,00;N;Clique para Detalhar;ESPECIALIZADO
11045;Carro Maca para Ressonância Magnética;Maca com rodízios confeccionada em material diamagnético utilizada no transporte de pacientes, para uso em procedimentos especiais.;Apoio;R$ 4.566,00;N;Clique para Detalhar;ESPECIALIZADO
1488;Carro Maca Simples;Maca com rodízios utilizada para acomodação e transporte de pacientes.;Apoio;R$ 3.832,00;N;Clique para Detalhar;ESPECIALIZADO
11842;Carro para Ferramentas;Item móvel utilizado para guardar, transportar materiais.;Gerais;R$ 1.853,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2306;Carro para Material de Limpeza;É um equipamento móvel projetado para organizar, transportar e armazenar de forma eficiente e segura todos os suprimentos, ferramentas e produtos necessários para a realização de serviços de limpeza e manutenção;Gerais;R$ 1.463,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11843;Carro para Mecânico;Item utilizado para ajudar o profissional a ter acesso debaixo de veículos.;Gerais;R$ 285,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2223;Carro para Transporte de Cadáveres;É um equipamento hospitalar ou funerário projetado especificamente para a movimentação segura, discreta e higiênica do corpo de uma pessoa falecida (cadáver) de seu local de óbito para o necrotério, câmara fria ou área de preparação.;Apoio;R$ 5.669,00;N;Clique para Detalhar;ESPECIALIZADO
2630;Carro para Transporte de Materiais (diversos);Carro para transporte de materiais.;Gerais;R$ 6.138,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10350;Carro para Transporte de Resíduos;Carro utilizado para o transporte de detritos com tampa.;Gerais;R$ 1.418,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2089;Carro Térmico;Carro térmico, utilizado no transporte de bandejas de refeição.;Apoio;R$ 64.097,00;N;Clique para Detalhar;ESPECIALIZADO
11916;Cavalete de Pintura;Suporte ou estrutura utilizada para sustentar uma tela nas atividades de arteterapia.;Apoio;R$ 103,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11904;Cavaquinho;Instrumento musical de cordas, formado por um corpo oco e chato, em forma de oito, tem um braço que possui trastes que o torna um instrumento temperado, composto de quatro cordas.;Apoio;R$ 375,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
10397;Central de Inclusão de Parafina;Equipamento para inclusão de parafina nas rotinas do Latoratório de Anatomia Patológica. Sistema contendo um módulo de placa fria, um módulo com placa aquecida e dispensador de parafina.;Médico Assistencial;R$ 54.250,00;N;Clique para Detalhar;ESPECIALIZADO
