Ano;N° Emenda;Partido;Parlamentar;Cód. Parlamentar Solicitante (a partir de 2025);Parlamentar Solicitante (a partir de 2025);UF;Cód. Município IBGE;Municipio;Esfera Administrativa;Tipo de Emenda;Grupo de Despesa;Subfunção;Fonte;Funcional;Data Inicio Proposta;N° Instrumento;TGov Parceria;Tipo de Repasse;Tipo de Instrumento;Ação Orç.;Programa Estratégico;Componente;CNPJ Beneficiário;Beneficiário;Nr. Portaria;Data Portaria;Situação (Portal FNS);Situação (DS PROPOSTA);Data Último Pgto;Instrumento (R$);Empenhado (R$);Pago (R$)
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250880;MALTA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;20/05/2026;36000807487202600;202600036603;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;12460136000163;FUNDO MUNICIPAL DE SAUDE DE MALTA;11413;26/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250680;INGA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;20/05/2026;36000807229202600;202600036119;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;08610110000187;FUNDO MUNICIPAL DE SAUDE DE INGA/PB;11372;22/05/2026;PROPOSTA PAGA;Proposta Paga;25/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250970;MONTEIRO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;09/05/2026;36000803251202600;202600029822;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11214763000151;FUNDO MUNICIPAL DE SAUDE DE MONTEIRO;11170;13/05/2026;PROPOSTA PAGA;Proposta Paga;17/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251385;SANTO ANDRE;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;28/05/2026;36000811260202600;202600040151;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11411482000199;FUNDO MUNICIPAL DE SAUDE DE SANTO ANDRE;11611;19/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$600.000,00;R$600.000,00;R$0,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251150;PILAR;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;01/06/2026;36000812076202600;202600038388;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11171199000137;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PILAR;11519;03/06/2026;PROPOSTA PAGA;Proposta Paga;25/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251593;SERTAOZINHO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;14/05/2026;36000805326202600;202600035606;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11958034000100;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE SERTAOZINHO-PB;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$200.000,00;R$200.000,00;R$200.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251670;TEIXEIRA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;06/05/2026;36000801052202600;202600030636;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11229326000101;FUNDO MUNICIPAL DE SAUDE;11239;15/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$801.000,00;R$801.000,00;R$801.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251020;NOVA OLINDA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;17/06/2026;36000815034202600;202600041946;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11268720000159;FUNDO MUNICIPAL DE SAUDE_NOVA OLINDA;11765;30/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$825.000,00;R$825.000,00;R$0,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251020;NOVA OLINDA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;14/05/2026;36000805437202600;202600035574;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11268720000159;FUNDO MUNICIPAL DE SAUDE_NOVA OLINDA;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$400.000,00;R$400.000,00;R$400.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251090;PAULISTA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;05/05/2026;36000800869202600;202600035584;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11247833000178;FUNDO MUNICIPAL DE SAUDE;11331;20/05/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$1.500.000,00;R$1.500.000,00;R$0,00
